"Origin Location Country Name","Propagative Material type","Compliance"
"South Africa","Unrooted Cutting","Low compliance"
"South Africa","Unrooted Plant","Medium compliance"
"South Sudan","Rooted Plant (including grafted)","Medium compliance"
"Spain","Budwood/Graftwood (scion)","Low compliance"
"Spain","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Spain","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Spain","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Spain","Rooted Cutting (including air layer)","Medium compliance"
"Spain","Rooted Plant (including grafted)","Medium compliance"
"Spain","Unrooted Cutting","Medium compliance"
"Spain","Unrooted Plant","Medium compliance"
"Sri Lanka","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Sri Lanka","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Sri Lanka","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Sri Lanka","Rooted Cutting (including air layer)","Medium compliance"
"Sri Lanka","Rooted Plant (including grafted)","Medium compliance"
"Sri Lanka","Unrooted Cutting","Medium compliance"
"Sri Lanka","Unrooted Plant","Poor compliance"
"Suriname","Rooted Plant (including grafted)","Medium compliance"
"Sweden","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Sweden","Rooted Cutting (including air layer)","Medium compliance"
"Sweden","Rooted Plant (including grafted)","Medium compliance"
"Switzerland","Budwood/Graftwood (scion)","Poor compliance"
"Switzerland","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Switzerland","Rooted Plant (including grafted)","Medium compliance"
"Switzerland","Unrooted Cutting","Medium compliance"
"Syrian Arab Republic","Rooted Plant (including grafted)","Medium compliance"
"Taiwan","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Taiwan","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Taiwan","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Taiwan","Rooted Cutting (including air layer)","Medium compliance"
"Taiwan","Rooted Plant (including grafted)","Medium compliance"
"Taiwan","Unrooted Cutting","Medium compliance"
"Taiwan","Unrooted Plant","Low compliance"
"Tajikistan","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Tajikistan","Rooted Plant (including grafted)","Medium compliance"
"Tajikistan","Unrooted Cutting","Medium compliance"
"Tanzania","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Tanzania","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Tanzania","Rooted Cutting (including air layer)","Low compliance"
"Tanzania","Rooted Plant (including grafted)","Low compliance"
"Tanzania","Unrooted Cutting","Medium compliance"
"Tanzania","Unrooted Plant","Medium compliance"
"Thailand","Budwood/Graftwood (scion)","Low compliance"
"Thailand","Bulb, Corm, Rhizome, Tuberous Stem","Low compliance"
"Thailand","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Thailand","Root cutting, crown, or clump, Tuberous Root","High compliance"
"Thailand","Rooted Cutting (including air layer)","Medium compliance"
"Thailand","Rooted Plant (including grafted)","Medium compliance"
"Thailand","Unrooted Cutting","Medium compliance"
"Thailand","Unrooted Plant","High compliance"
"Timor-Leste","Rooted Plant (including grafted)","Medium compliance"
"Timor-Leste","Unrooted Plant","Medium compliance"
"Togo","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Togo","Rooted Cutting (including air layer)","Medium compliance"
"Togo","Rooted Plant (including grafted)","Medium compliance"
"Tokelau (Tokelau Islands)","Rooted Plant (including grafted)","Medium compliance"
"Trinidad and Tobago","Bulb, Corm, Rhizome, Tuberous Stem","Poor compliance"
"Trinidad and Tobago","Rooted Cutting (including air layer)","Low compliance"
"Turkey","Budwood/Graftwood (scion)","Medium compliance"
"Turkey","Bulb, Corm, Rhizome, Tuberous Stem","Poor compliance"
"Turkey","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Turkey","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Turkey","Rooted Cutting (including air layer)","Medium compliance"
"Turkey","Rooted Plant (including grafted)","High compliance"
"Turkey","Unrooted Cutting","Medium compliance"
"Turkey","Unrooted Plant","Medium compliance"
"Uganda","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Uganda","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Uganda","Rooted Cutting (including air layer)","Medium compliance"
"Uganda","Rooted Plant (including grafted)","Medium compliance"
"Uganda","Unrooted Cutting","Medium compliance"
"Uganda","Unrooted Plant","Medium compliance"
"Ukraine","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Ukraine","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Ukraine","Rooted Cutting (including air layer)","Medium compliance"
"Ukraine","Rooted Plant (including grafted)","Poor compliance"
"Ukraine","Unrooted Cutting","Medium compliance"
"Ukraine","Unrooted Plant","Medium compliance"
"United Arab Emirates","Unrooted Cutting","Medium compliance"
"United Kingdom of Great Britain and N. Ireland","Budwood/Graftwood (scion)","Poor compliance"
"United Kingdom of Great Britain and N. Ireland","Bulb, Corm, Rhizome, Tuberous Stem","Low compliance"
"United Kingdom of Great Britain and N. Ireland","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"United Kingdom of Great Britain and N. Ireland","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"United Kingdom of Great Britain and N. Ireland","Rooted Cutting (including air layer)","Medium compliance"
"United Kingdom of Great Britain and N. Ireland","Rooted Plant (including grafted)","Medium compliance"
"United Kingdom of Great Britain and N. Ireland","Unrooted Cutting","Medium compliance"
"United Kingdom of Great Britain and N. Ireland","Unrooted Plant","Medium compliance"
"United States Minor Outlying Islands","Budwood/Graftwood (scion)","Medium compliance"
"United States of America","Budwood/Graftwood (scion)","Medium compliance"
"United States of America","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"United States of America","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"United States of America","Rooted Cutting (including air layer)","Poor compliance"
"United States of America","Rooted Plant (including grafted)","Medium compliance"
"United States of America","Unrooted Cutting","Poor compliance"
"United States of America","Unrooted Plant","Medium compliance"
"Uruguay","Unrooted Cutting","Medium compliance"
"US Virgin Islands","Unrooted Cutting","Medium compliance"
"Venezuela","Rooted Plant (including grafted)","Medium compliance"
"Venezuela","Unrooted Cutting","Medium compliance"
"Viet Nam","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Viet Nam","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Viet Nam","Rooted Cutting (including air layer)","Poor compliance"
"Viet Nam","Rooted Plant (including grafted)","High compliance"
"Viet Nam","Unrooted Cutting","Medium compliance"
"Viet Nam","Unrooted Plant","Medium compliance"
"Wallis and Futuna Islands","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Western Sahara","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Zambia","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Zambia","Rooted Plant (including grafted)","Medium compliance"
"Zimbabwe","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Zimbabwe","Rooted Cutting (including air layer)","Medium compliance"
"Zimbabwe","Rooted Plant (including grafted)","High compliance"
"Zimbabwe","Unrooted Cutting","Medium compliance"
"Zimbabwe","Unrooted Plant","Medium compliance"
"Guam","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Cayman Islands","Unrooted Cutting","Medium compliance"
"North Macedonia","Rooted Plant (including grafted)","Medium compliance"
"Cyprus","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Canada","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Bhutan","Unrooted Cutting","Medium compliance"
"Uruguay","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Brazil","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Argentina","Rooted Plant (including grafted)","Medium compliance"
"Hungary","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Bulgaria","Unrooted Plant","Medium compliance"
"Armenia","Budwood/Graftwood (scion)","Medium compliance"
"Morocco","Budwood/Graftwood (scion)","Low compliance"
"Croatia","Budwood/Graftwood (scion)","Low compliance"
"Palau","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Oman","Budwood/Graftwood (scion)","Low compliance"
"Pakistan","Unrooted Cutting","Poor compliance"
"Austria","Unrooted Plant","Medium compliance"
"Senegal","Rooted Plant (including grafted)","Medium compliance"
"Pakistan","Rooted Cutting (including air layer)","Poor compliance"
"Guam","Unrooted Plant","Medium compliance"
"Hungary","Rooted Cutting (including air layer)","Medium compliance"
"Austria","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Austria","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"United States of America","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Trinidad and Tobago","Unrooted Cutting","Medium compliance"
"Palau","Unrooted Cutting","Medium compliance"
"Mali","Rooted Plant (including grafted)","Medium compliance"
"Barbados","Unrooted Cutting","Medium compliance"
"Russia","Rooted Plant (including grafted)","Medium compliance"
"Nepal","Rooted Plant (including grafted)","Medium compliance"
"Oman","Unrooted Cutting","Medium compliance"
"Jamaica","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Macao","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Antigua and Barbuda","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Tanzania","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Zimbabwe","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Venezuela","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Sweden","Bulb, Corm, Rhizome, Tuberous Stem","Poor compliance"
"Viet Nam","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"New Zealand","Unrooted Plant","Medium compliance"
"Philippines","Budwood/Graftwood (scion)","Poor compliance"
"Barbados","Budwood/Graftwood (scion)","Poor compliance"
"Trinidad and Tobago","Rooted Plant (including grafted)","Medium compliance"
"US Virgin Islands","Rooted Plant (including grafted)","Medium compliance"
"Gambia","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Gambia","Rooted Plant (including grafted)","Medium compliance"
"Luxembourg","Rooted Plant (including grafted)","Low compliance"
"Senegal","Unrooted Cutting","Medium compliance"
"St. Lucia","Rooted Cutting (including air layer)","Poor compliance"
"St. Lucia","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Antigua and Barbuda","Rooted Cutting (including air layer)","Low compliance"
"Trinidad and Tobago","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Medium compliance"
"Ukraine","Budwood/Graftwood (scion)","Low compliance"
"Suriname","Rooted Cutting (including air layer)","Medium compliance"
"Sweden","Unrooted Cutting","Medium compliance"
"Romania","Unrooted Cutting","Medium compliance"
"Belize","Unrooted Cutting","Medium compliance"
"El Salvador","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Luxembourg","Rooted Cutting (including air layer)","Low compliance"
