"Origin Location Country Name","Propagative Material type","Compliance"
"Kenya","Root cutting, crown, or clump, Tuberous Root","High compliance"
"Kenya","Rooted Cutting (including air layer)","Medium compliance"
"Kenya","Rooted Plant (including grafted)","High compliance"
"Kenya","Unrooted Cutting","Medium compliance"
"Kenya","Unrooted Plant","High compliance"
"Korea, North","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Korea, North","Rooted Cutting (including air layer)","Medium compliance"
"Korea, North","Rooted Plant (including grafted)","Medium compliance"
"Korea, North","Unrooted Cutting","Medium compliance"
"Korea, North","Unrooted Plant","Medium compliance"
"Korea, South","Budwood/Graftwood (scion)","Poor compliance"
"Korea, South","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Korea, South","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Korea, South","Root cutting, crown, or clump, Tuberous Root","Poor compliance"
"Korea, South","Rooted Cutting (including air layer)","Low compliance"
"Korea, South","Rooted Plant (including grafted)","Medium compliance"
"Korea, South","Unrooted Cutting","Medium compliance"
"Korea, South","Unrooted Plant","Low compliance"
"Kyrgyzstan","Budwood/Graftwood (scion)","Medium compliance"
"Kyrgyzstan","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Lao PDR","Rooted Plant (including grafted)","Medium compliance"
"Latvia","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Latvia","Unrooted Cutting","Medium compliance"
"Lebanon","Unrooted Cutting","Medium compliance"
"Lithuania","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Lithuania","Unrooted Plant","Medium compliance"
"Macao","Rooted Plant (including grafted)","Medium compliance"
"Macao","Unrooted Cutting","Medium compliance"
"North Macedonia","Rooted Plant (including grafted)","Medium compliance"
"North Macedonia","Unrooted Cutting","Medium compliance"
"Madagascar","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Madagascar","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Madagascar","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Madagascar","Rooted Plant (including grafted)","Medium compliance"
"Madagascar","Unrooted Cutting","Medium compliance"
"Madagascar","Unrooted Plant","Medium compliance"
"Malaysia","Budwood/Graftwood (scion)","Medium compliance"
"Malaysia","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Malaysia","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Malaysia","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Malaysia","Rooted Cutting (including air layer)","Medium compliance"
"Malaysia","Rooted Plant (including grafted)","High compliance"
"Malaysia","Unrooted Cutting","High compliance"
"Malaysia","Unrooted Plant","Medium compliance"
"Mali","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Mali","Unrooted Cutting","Medium compliance"
"Martinique","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Medium compliance"
"Mayotte","Unrooted Cutting","Medium compliance"
"Mayotte","Unrooted Plant","Medium compliance"
"Mexico","Budwood/Graftwood (scion)","Low compliance"
"Mexico","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Mexico","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Mexico","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Mexico","Rooted Cutting (including air layer)","High compliance"
"Mexico","Rooted Plant (including grafted)","Low compliance"
"Mexico","Unrooted Cutting","High compliance"
"Mexico","Unrooted Plant","Low compliance"
"Micronesia","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Micronesia","Unrooted Cutting","Medium compliance"
"Moldova","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Medium compliance"
"Moldova","Rooted Plant (including grafted)","Poor compliance"
"Morocco","Bulb, Corm, Rhizome, Tuberous Stem","Poor compliance"
"Morocco","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Morocco","Rooted Cutting (including air layer)","Medium compliance"
"Morocco","Rooted Plant (including grafted)","Medium compliance"
"Mozambique","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Mozambique","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Mozambique","Rooted Plant (including grafted)","Medium compliance"
"Mozambique","Unrooted Cutting","Medium compliance"
"Mozambique","Unrooted Plant","Medium compliance"
"Namibia","Rooted Plant (including grafted)","Medium compliance"
"Nauru","Unrooted Cutting","Medium compliance"
"Nepal","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Nepal","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Nepal","Unrooted Cutting","Medium compliance"
"Netherlands Antilles","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Netherlands Antilles","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Netherlands Antilles","Unrooted Cutting","Medium compliance"
"Netherlands","Budwood/Graftwood (scion)","Medium compliance"
"Netherlands","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"Netherlands","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Netherlands","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Netherlands","Rooted Cutting (including air layer)","Medium compliance"
"Netherlands","Rooted Plant (including grafted)","Medium compliance"
"Netherlands","Unrooted Cutting","Medium compliance"
"Netherlands","Unrooted Plant","High compliance"
"New Caledonia","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"New Caledonia","Rooted Plant (including grafted)","Medium compliance"
"New Caledonia","Unrooted Cutting","Medium compliance"
"New Caledonia","Unrooted Plant","Medium compliance"
"New Zealand","Budwood/Graftwood (scion)","Low compliance"
"New Zealand","Bulb, Corm, Rhizome, Tuberous Stem","Medium compliance"
"New Zealand","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"New Zealand","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"New Zealand","Rooted Cutting (including air layer)","Low compliance"
"New Zealand","Rooted Plant (including grafted)","Poor compliance"
"New Zealand","Unrooted Cutting","Poor compliance"
"Nicaragua","Budwood/Graftwood (scion)","Medium compliance"
"Nicaragua","Meristem or Callus Tissue Culture (micropropagated/in vitro culture)","Tissue culture high"
"Nicaragua","Root cutting, crown, or clump, Tuberous Root","Medium compliance"
"Nicaragua","Rooted Cutting (including air layer)","Medium compliance"
"Nicaragua","Rooted Plant (including grafted)","Poor compliance"
"Nicaragua","Unrooted Cutting","High compliance"
"Nicaragua","Unrooted Plant","Medium compliance"
"Nigeria","Bulb, Corm, Rhizome, Tuberous Stem","Low compliance"
